Oligo_Number,K562_Rep_1_Normalized_Edit_Score,K562_Rep_3_Normalized_Edit_Score,K562_Rep_2_Normalized_Edit_Score,K562_Rep_4_Normalized_Edit_Score,HEK293T_Rep_4_Normalized_Edit_Score,HEK293T_Rep_3_Normalized_Edit_Score,HEK293T_Rep_2_Normalized_Edit_Score,HEK293T_Rep_1_Normalized_Edit_Score,iPSC_Rep_1_Normalized_Edit_Score,iPSC_Rep_2_Normalized_Edit_Score,iPSC_Rep_4_Normalized_Edit_Score,iPSC_Rep_3_Normalized_Edit_Score
258,NA,11.19047285,1.132161907,0.100246131,1.713144329,3.631858745,0.262303015,0.161134576,0.985403434,0.314955514,0.155198149,0.353015509
207,6.15053545,7.643938603,13.04860499,9.506211072,6.530980295,4.091512982,3.467160237,10.43404127,9.903911037,8.312449544,15.60313214,16.25048774
266,5.589600227,20.69931377,6.215845373,0.050203192,6.955156723,15.45015393,17.508567,7.128154037,9.787538855,16.40386823,14.42541204,12.49315446
29,0.028100722,0.062255505,2.805869791,0.13830842,0.02868453,0.300649994,0.012924872,NA,NA,NA,0.085650032,0.040587616
296,14.40629187,0.094148368,9.580207863,11.66080489,4.849808422,7.660499521,3.752861334,5.267219073,10.02316154,5.366734172,9.325992559,9.329796405
192,1.541988285,0.079446159,0.147655938,3.088743279,3.594631495,2.813570305,2.935900947,2.529690663,3.108475375,1.663591209,7.541743653,5.645666035
311,12.00978773,6.867867202,10.44358789,0.266745266,18.05701647,18.61818375,1.395925949,26.98351847,9.876438481,6.369303022,15.46149489,6.82587181
276,4.2750142,NA,NA,0.050097888,3.424567596,3.273631043,0.056179555,0.107369091,2.462271137,3.043040647,1.085841341,4.645702781
140,0.099536975,NA,NA,NA,1.137975018,0.032271134,0.030521225,NA,1.538357861,NA,NA,NA
51,NA,0.031900728,0.059289611,NA,0.041155568,0.018673687,2.106086486,0.075945372,0.058054603,NA,0.065832693,NA
69,NA,0.161380018,0.059987086,0.107557791,0.077330903,0.042510065,0.227828036,0.057629087,0.058737549,NA,0.06660714,0.084169652
164,0.033677494,NA,NA,NA,1.175698967,0.027296663,0.108429282,0.088811821,0.067890049,0.954759394,0.076985881,1.605202286
226,10.07860052,4.151336869,12.54710626,0.134311399,0.178275625,4.948598452,6.141794837,0.311842165,4.987647272,12.56570194,6.182660388,5.623158278
215,NA,0.513691225,NA,5.398893636,2.27946594,1.509276479,2.083727888,0.023517953,5.537141062,1.287117023,0.489272804,4.327966186
40,0.02718119,4.546484449,NA,NA,0.976655513,0.806342136,0.037505806,0.053760184,NA,NA,3.831689137,0.274816359
186,NA,2.420839922,0.034609931,0.041370768,1.050205098,0.277966459,NA,NA,0.88111407,1.993020455,0.051239217,1.165493179
284,3.86149482,0.04364753,NA,7.321119283,4.126739077,4.54788177,4.548957512,7.481572522,7.069451911,14.82667369,5.794777373,8.992129143
117,0.305102408,5.40749226,3.077868186,0.037541947,0.056059395,0.603399932,NA,2.252862463,0.246020889,0.078633413,0.255733949,0.176271335
250,4.195945643,8.123783851,20.01877638,12.57075028,8.178894713,8.493491263,13.7611473,5.075577808,0.882631893,2.915111696,23.15938808,5.111870167
297,53.27777375,31.76820234,12.96669248,6.531301584,23.16907394,21.0169447,13.26367715,9.270926955,10.14130543,28.89160798,17.02366069,16.64917972
313,8.56317042,NA,0.041776345,NA,0.024856138,1.171040528,0.037332829,2.408050901,1.145371901,4.497612968,2.102863633,3.810145461
200,2.977356037,4.669190561,5.613150352,5.392413844,2.697727783,4.864441659,8.616632481,2.27168971,7.350783293,7.24238393,1.325544079,2.75417599
298,0.038742695,0.257496519,6.500634267,0.095343474,3.646288368,5.52678138,0.570228052,4.750877013,2.343027759,4.992537315,4.693934362,4.308802767
267,3.239033463,0.040313984,5.394686682,12.00138524,6.999009697,5.36866879,8.269155428,6.358319155,11.37164997,12.85012902,7.931247946,8.988714904
44,0.076915928,0.255604108,0.607017447,0.06309518,0.052342601,1.961719104,1.108489703,0.050709264,0.982007918,0.066077944,0.683774879,0.074062965
265,8.207860726,16.56328423,15.28177423,11.68032518,21.80565435,20.98212594,9.421559886,9.669744206,17.55328183,13.98000168,13.48757538,8.0408657
302,2.908783425,7.57407368,0.03888651,20.82427212,4.0103684,10.57578932,8.166336992,6.774240127,8.300677035,2.920810689,1.813473763,5.674532249
217,3.090441021,5.084176679,5.60657188,3.953297882,2.479989586,1.329332649,0.154810548,0.242075788,1.048610892,2.996706264,2.494783881,0.574537666
179,1.449299799,0.061746902,NA,0.034294624,3.249011593,0.853918621,2.435663384,1.727244281,2.472144896,2.51411087,3.631625563,0.402560312
312,NA,NA,NA,NA,NA,0.674762064,0.739700461,NA,NA,6.826808404,0.432513339,NA
